"subject" "activity" "mean"
1 "LAYING" -0.306422304701145
1 "SITTING" -0.321611164628588
1 "STANDING" -0.369517094454077
1 "WALKING" -0.216935265676919
1 "WALKING_DOWNSTAIRS" -0.202070043106026
1 "WALKING_UPSTAIRS" -0.211276027290077
2 "LAYING" -0.354335585138703
2 "SITTING" -0.348633207802225
2 "STANDING" -0.347088092800048
2 "WALKING" -0.224189062606145
2 "WALKING_DOWNSTAIRS" -0.166002523237664
2 "WALKING_UPSTAIRS" -0.211281078941351
3 "LAYING" -0.341538128365992
3 "SITTING" -0.312804395016425
3 "STANDING" -0.349528105904623
3 "WALKING" -0.24461909483441
3 "WALKING_DOWNSTAIRS" -0.209845594427378
3 "WALKING_UPSTAIRS" -0.231458190393053
4 "LAYING" -0.357496550988979
4 "SITTING" -0.33178566878962
4 "STANDING" -0.334465740987473
4 "WALKING" -0.223238287577359
4 "WALKING_DOWNSTAIRS" -0.184484237268152
4 "WALKING_UPSTAIRS" -0.208818298765721
5 "LAYING" -0.359640928059729
5 "SITTING" -0.336823196657968
5 "STANDING" -0.336242786087002
5 "WALKING" -0.219209838937487
5 "WALKING_DOWNSTAIRS" -0.154384782871631
5 "WALKING_UPSTAIRS" -0.191717463288579
6 "LAYING" -0.357787659779997
6 "SITTING" -0.34532736991938
6 "STANDING" -0.356336308421265
6 "WALKING" -0.218687461943211
6 "WALKING_DOWNSTAIRS" -0.152190186699066
6 "WALKING_UPSTAIRS" -0.203024850578143
7 "LAYING" -0.347035127785239
7 "SITTING" -0.336492879667377
7 "STANDING" -0.353004350537682
7 "WALKING" -0.198695249707837
7 "WALKING_DOWNSTAIRS" -0.204935003346086
7 "WALKING_UPSTAIRS" -0.238226214696982
8 "LAYING" -0.333991752891827
8 "SITTING" -0.322473224082111
8 "STANDING" -0.356467109227558
8 "WALKING" -0.189167825265327
8 "WALKING_DOWNSTAIRS" -0.153062854335789
8 "WALKING_UPSTAIRS" -0.164106938367214
9 "LAYING" -0.368603513583336
9 "SITTING" -0.336891284623218
9 "STANDING" -0.354808294700178
9 "WALKING" -0.202712155375782
9 "WALKING_DOWNSTAIRS" -0.167377542932993
9 "WALKING_UPSTAIRS" -0.224649279132567
10 "LAYING" -0.416696055753527
10 "SITTING" -0.344561043909125
10 "STANDING" -0.350436821284957
10 "WALKING" -0.200958500858832
10 "WALKING_DOWNSTAIRS" -0.133342741196375
10 "WALKING_UPSTAIRS" -0.162722133746996
11 "LAYING" -0.360113201802222
11 "SITTING" -0.332420147247884
11 "STANDING" -0.364701721450653
11 "WALKING" -0.224595492650166
11 "WALKING_DOWNSTAIRS" -0.163449468261084
11 "WALKING_UPSTAIRS" -0.188605527216919
12 "LAYING" -0.360138110810962
12 "SITTING" -0.342381440755633
12 "STANDING" -0.357306442187345
12 "WALKING" -0.235250841187706
12 "WALKING_DOWNSTAIRS" -0.207072740358329
12 "WALKING_UPSTAIRS" -0.23830148389719
13 "LAYING" -0.336803692615029
13 "SITTING" -0.338165870632928
13 "STANDING" -0.370696721295718
13 "WALKING" -0.203033573292305
13 "WALKING_DOWNSTAIRS" -0.207238626388839
13 "WALKING_UPSTAIRS" -0.207430132176896
14 "LAYING" -0.304797992014029
14 "SITTING" -0.343960142847146
14 "STANDING" -0.353470060369202
14 "WALKING" -0.230443415097278
14 "WALKING_DOWNSTAIRS" -0.149429122341558
14 "WALKING_UPSTAIRS" -0.172998705869442
15 "LAYING" -0.358542221575976
15 "SITTING" -0.343965712508824
15 "STANDING" -0.362736457760587
15 "WALKING" -0.210681621947046
15 "WALKING_DOWNSTAIRS" -0.144736347844114
15 "WALKING_UPSTAIRS" -0.183118775094343
16 "LAYING" -0.357891584981065
16 "SITTING" -0.353531456686118
16 "STANDING" -0.371441554964191
16 "WALKING" -0.236309740671827
16 "WALKING_DOWNSTAIRS" -0.170385130504252
16 "WALKING_UPSTAIRS" -0.222274137472418
17 "LAYING" -0.330181167808056
17 "SITTING" -0.368628139825732
17 "STANDING" -0.37261650374932
17 "WALKING" -0.221533448780309
17 "WALKING_DOWNSTAIRS" -0.195618664290402
17 "WALKING_UPSTAIRS" -0.211073818369777
18 "LAYING" -0.350167585584219
18 "SITTING" -0.348079851965958
18 "STANDING" -0.367080516419913
18 "WALKING" -0.246641012288252
18 "WALKING_DOWNSTAIRS" -0.245472496949182
18 "WALKING_UPSTAIRS" -0.238479269869633
19 "LAYING" -0.351937532431252
19 "SITTING" -0.32184359944495
19 "STANDING" -0.355606331775994
19 "WALKING" -0.178986005408342
19 "WALKING_DOWNSTAIRS" -0.0934546602999841
19 "WALKING_UPSTAIRS" -0.194892704221447
20 "LAYING" -0.356179034740837
20 "SITTING" -0.339891696570028
20 "STANDING" -0.338621898884183
20 "WALKING" -0.176848097008756
20 "WALKING_DOWNSTAIRS" -0.151413472276434
20 "WALKING_UPSTAIRS" -0.192049156958421
21 "LAYING" -0.324809720951276
21 "SITTING" -0.362198366394754
21 "STANDING" -0.363670340862663
21 "WALKING" -0.208825514654728
21 "WALKING_DOWNSTAIRS" -0.162733565046805
21 "WALKING_UPSTAIRS" -0.219306733953311
22 "LAYING" -0.328898181154924
22 "SITTING" -0.320934030441537
22 "STANDING" -0.357532356994861
22 "WALKING" -0.180680050503854
22 "WALKING_DOWNSTAIRS" -0.135577714565901
22 "WALKING_UPSTAIRS" -0.153246679684804
23 "LAYING" -0.345547764810196
23 "SITTING" -0.336087644213848
23 "STANDING" -0.364208419532652
23 "WALKING" -0.215428159858541
23 "WALKING_DOWNSTAIRS" -0.163131601516699
23 "WALKING_UPSTAIRS" -0.193007076039034
24 "LAYING" -0.343376783139297
24 "SITTING" -0.345226090893998
24 "STANDING" -0.364831902373473
24 "WALKING" -0.249960170868568
24 "WALKING_DOWNSTAIRS" -0.21818479168132
24 "WALKING_UPSTAIRS" -0.243499170878916
25 "LAYING" -0.257841196473825
25 "SITTING" -0.340811570751211
25 "STANDING" -0.353960389726435
25 "WALKING" -0.238620827265653
25 "WALKING_DOWNSTAIRS" -0.21114356494006
25 "WALKING_UPSTAIRS" -0.227732168130058
26 "LAYING" -0.35612112507067
26 "SITTING" -0.329352478703335
26 "STANDING" -0.360560296947889
26 "WALKING" -0.223015551548661
26 "WALKING_DOWNSTAIRS" -0.155168750280097
26 "WALKING_UPSTAIRS" -0.223671332947875
27 "LAYING" -0.357375122506651
27 "SITTING" -0.336679493494065
27 "STANDING" -0.369517918095219
27 "WALKING" -0.225650600973063
27 "WALKING_DOWNSTAIRS" -0.191005376248045
27 "WALKING_UPSTAIRS" -0.229449841325772
28 "LAYING" -0.406007878056746
28 "SITTING" -0.349935722593031
28 "STANDING" -0.358555800587409
28 "WALKING" -0.225052759409209
28 "WALKING_DOWNSTAIRS" -0.189261085725471
28 "WALKING_UPSTAIRS" -0.24291681884224
29 "LAYING" -0.344850982528983
29 "SITTING" -0.335468241904146
29 "STANDING" -0.367367661442444
29 "WALKING" -0.184563675029841
29 "WALKING_DOWNSTAIRS" -0.163736928484381
29 "WALKING_UPSTAIRS" -0.166245353351382
30 "LAYING" -0.339100257248154
30 "SITTING" -0.330142403728536
30 "STANDING" -0.348178394564612
30 "WALKING" -0.225751404989627
30 "WALKING_DOWNSTAIRS" -0.194181006211972
30 "WALKING_UPSTAIRS" -0.212789223317706
